"ts","srcip","dstip","srcport","dstport","proto_type","sbytes","dbytes","flow_bytes","rate","srate","drate","spkts","dpkts","ttl","iat","max_iat","min_iat","total_duration","N_IN_Conn_P_Src_IP","N_IN_Conn_P_Dst_IP","avg_pkt_len","state_con","state_int","state_rst","fin_flag_number","syn_flag_number","psh_flag_number","ack_flag_number","urg_flag_number","ece_flag_number","cwr_flag_number"
"60",1666816980.91616,"63.35.69.141","192.168.137.51",443,35815,6,35493,330,35823,68.9158287128403,53.2531403690129,15.6626883438273,17,5,232,1e-06,0.168381,0,0.31923,1,1,66,1,0,0,0,0,0,1,0,0,0
"61",1666816980.91616,"63.35.69.141","192.168.137.51",443,35815,6,35493,396,35889,72.0483663816057,53.2531403690129,18.7952260125928,17,6,232,0,0.168381,0,0.31923,1,1,66,1,0,0,0,0,0,1,0,0,0
"62",1666816980.91616,"63.35.69.141","192.168.137.51",443,35815,6,35493,462,35955,75.180668544095,53.2529735520673,21.9276949920277,17,7,232,1e-06,0.168381,0,0.319231,1,1,66,1,0,0,0,0,0,1,0,0,0
"63",1666816980.91616,"63.35.69.141","192.168.137.51",443,35815,6,35493,528,36021,78.313196400099,53.2529735520673,25.0602228480317,17,8,232,0,0.168381,0,0.319231,1,1,66,1,0,0,0,0,0,1,0,0,0
"64",1666816980.91616,"63.35.69.141","192.168.137.51",443,35815,6,35493,594,36087,81.4454691259022,53.2528067361668,28.1926623897354,17,9,232,1e-06,0.168381,0,0.319232,1,1,66,1,0,0,0,0,0,1,0,0,0
"65",1666816980.91616,"63.35.69.141","192.168.137.51",443,35815,6,35493,660,36153,84.5779871692061,53.2528067361668,31.3251804330393,17,10,232,0,0.168381,0,0.319232,1,1,66,1,0,0,0,0,0,1,0,0,0
"66",1666816980.91616,"63.35.69.141","192.168.137.51",443,35815,6,35493,726,36219,87.71050521251,53.2528067361668,34.4576984763432,17,11,232,0,0.168381,0,0.319232,1,1,66,1,0,0,0,0,0,1,0,0,0
"67",1666816980.91617,"63.35.69.141","192.168.137.51",443,35815,6,35493,792,36285,90.841031327626,53.2516390541256,37.5893922735004,17,12,232,7e-06,0.168381,0,0.319239,1,1,66,1,0,0,0,0,0,1,0,0,0
"68",1666816980.91617,"63.35.69.141","192.168.137.51",443,35815,6,35493,858,36351,93.9731863175041,53.2514722465856,40.7217140709184,17,13,232,1e-06,0.168381,0,0.31924,1,1,66,1,0,0,0,0,0,1,0,0,0
"69",1666816980.94983,"192.168.137.51","63.35.69.141",35815,443,6,35559,858,36417,87.8418393514439,51.0049389782577,36.8369003731861,18,13,64,0.033667,0.168381,0,0.352907,1,1,1975.5,1,0,0,0,0,0,1,0,0,0
"70",1666816980.96049,"192.168.137.206","13.225.196.108",60214,443,6,1525,0,1525,39.5455649648892,39.5455649648892,0,7,0,64,0.076455,0.076455,0,0.177011,5,2,217.857142857143,1,0,0,0,0,0,1,0,0,0
"71",1666816980.96623,"173.255.124.25","192.168.137.207",443,52333,6,780,198,978,14.4965353280566,9.06033458003537,5.43620074802122,5,3,60,0.080657,0.115094,0,0.551856,1,1,66,1,0,0,0,0,0,1,0,0,0
"72",1666816980.97008,"192.168.137.39","34.208.234.96",35406,443,6,66,0,66,0,0,0,1,0,64,0,0,0,0,1,1,66,0,0,0,0,0,0,1,0,0,0
"73",1666816980.97503,"13.225.196.108","192.168.137.206",443,60214,6,1525,74,1599,41.7636802155006,36.543220188563,5.22046002693757,7,1,246,0.014543,0.076455,0,0.191554,5,2,74,1,0,0,0,1,0,1,0,0,0
"74",1666816980.99544,"192.168.137.206","13.225.196.108",60214,443,6,1591,74,1665,42.4596397535454,37.7419020031515,4.71773775039393,8,1,64,0.020412,0.076455,0,0.211966,5,2,198.875,1,0,0,0,0,0,1,0,0,0
"75",1666816980.99608,"192.168.137.207","173.255.124.25",52333,443,6,936,198,1134,15.4717863380688,10.3145242253792,5.15726211268962,6,3,64,0.029848,0.115094,0,0.581704,1,1,156,1,0,0,0,0,1,1,0,0,0
"76",1666816980.99732,"192.168.137.246","192.168.137.227",55443,33408,6,813,217,1030,24.7982046099862,18.5986534574897,6.19955115249656,3,1,64,0.136966,0.136966,0,0.161302,1,3,217,1,0,0,0,0,1,1,0,0,0
"77",1666816981.00774,"13.225.196.108","192.168.137.206",443,60214,6,1591,140,1731,44.5910996165165,35.6728796932132,8.91821992330331,8,2,247,0.012294,0.076455,0,0.22426,5,2,70,1,0,0,0,0,0,1,0,0,0
"78",1666816981.00774,"13.225.196.108","192.168.137.206",443,60214,6,1591,349,1940,49.0499908588653,35.6727206246293,13.377270234236,8,3,247,1e-06,0.076455,0,0.224261,5,2,116.333333333333,1,0,0,0,0,1,1,0,0,0
"79",1666816981.01009,"3.141.212.7","192.168.137.9",443,60198,6,577,113,690,15.29090955427,10.1939397028467,5.09696985142333,2,1,236,0.14885,0.14885,0,0.196195,1,2,113,1,0,0,0,0,1,1,0,0,0
"80",1666816981.01092,"192.168.137.246","192.168.137.227",55443,33408,6,813,479,1292,28.587437536449,17.1524625218694,11.4349750145796,3,2,64,0.0136,0.136966,0,0.174902,1,3,239.5,1,0,0,0,0,1,1,0,0,0
"81",1666816981.02599,"192.168.137.206","44.199.80.228",41407,443,6,112,0,112,0,0,0,1,0,64,0,0,0,0,6,1,112,0,0,0,0,0,1,1,0,0,0
"82",1666816981.02946,"63.35.69.141","192.168.137.51",443,35815,6,35559,924,36483,73.9819391591028,41.6148407769953,32.3670983821075,18,14,231,0.079631,0.168381,0,0.432538,1,1,66,1,0,0,0,0,0,1,0,0,0
"83",1666816981.03456,"13.225.196.108","192.168.137.206",443,60214,6,1591,415,2006,47.7920091760658,31.8613394507105,15.9306697253553,8,4,247,0.026827,0.076455,0,0.251088,6,2,103.75,1,0,0,0,0,0,1,0,0,0
"84",1666816981.05232,"13.225.196.108","192.168.137.206",443,60214,6,1591,481,2072,48.3550000929904,29.7569231341479,18.5980769588425,8,5,247,0.017757,0.076455,0,0.268845,6,2,96.2,1,0,0,0,0,0,1,0,0,0
"85",1666816981.08541,"63.35.69.141","192.168.137.51",443,35815,6,35559,990,36549,67.5562252037946,36.8488501111607,30.7073750926339,18,15,231,0.055944,0.168381,0,0.488482,1,1,66,1,0,0,0,0,0,1,0,0,0
"86",1666816981.08875,"63.35.69.141","192.168.137.51",443,35815,6,35559,1056,36615,69.1312640041641,36.5989044727928,32.5323595313714,18,16,231,0.003336,0.168381,0,0.491818,1,1,66,1,0,0,0,0,0,1,0,0,0
"87",1666816981.08875,"173.255.124.25","192.168.137.207",443,52333,6,936,264,1200,14.8287208597099,8.89723251582595,5.93148834388397,6,4,60,0.092663,0.115094,0,0.674367,1,1,66,1,0,0,0,0,0,1,0,0,0
"88",1666816981.08999,"63.35.69.141","192.168.137.51",443,35815,6,35559,1122,36681,70.9841238936617,36.5061208595975,34.4780030340643,18,17,231,0.00125,0.168381,0,0.493068,1,1,66,1,0,0,0,0,0,1,0,0,0
"89",1666816981.09,"63.35.69.141","192.168.137.51",443,35815,6,35559,1188,36747,73.0120936420663,36.5060468210332,36.5060468210332,18,18,231,1e-06,0.168381,0,0.493069,1,1,66,1,0,0,0,0,0,1,0,0,0
"90",1666816981.09046,"63.35.69.141","192.168.137.51",443,35815,6,35559,1254,36813,74.9693537439087,36.4715774970367,38.4977762468721,18,19,231,0.000466,0.168381,0,0.493535,1,1,66,1,0,0,0,0,0,1,0,0,0
"91",1666816981.09046,"63.35.69.141","192.168.137.51",443,35815,6,35559,1320,36879,76.9955524937441,36.4715774970367,40.5239749967074,18,20,231,0,0.168381,0,0.493535,1,1,66,1,0,0,0,0,0,1,0,0,0
"92",1666816981.09093,"63.35.69.141","192.168.137.51",443,35815,6,35559,1386,36945,78.9464095577787,36.4368044112825,42.5096051464962,18,21,231,0.000471,0.168381,0,0.494006,1,1,66,1,0,0,0,0,0,1,0,0,0
"93",1666816981.09093,"63.35.69.141","192.168.137.51",443,35815,6,35559,1452,37011,80.9706764695166,36.4368044112825,44.5338720582341,18,22,231,0,0.168381,0,0.494006,1,1,66,1,0,0,1,0,0,1,0,0,0
"94",1666816981.1007,"192.168.137.207","173.255.124.25",52333,443,6,1092,264,1356,16.0275557394677,10.1993536523885,5.82820208707917,7,4,64,0.011951,0.115094,0,0.686318,1,1,156,1,0,0,0,0,1,1,0,0,0
"95",1666816981.10774,"13.225.196.108","192.168.137.206",443,60214,6,1591,1170,2761,43.1749634554774,24.6714076888442,18.5035557666332,8,6,247,0.055417,0.076455,0,0.324262,6,2,195,1,0,0,0,0,1,1,0,0,0
"96",1666816981.10774,"13.225.196.108","192.168.137.206",443,60214,6,1591,2664,4255,46.2587467580328,24.6713316042842,21.5874151537487,8,7,247,1e-06,0.076455,0,0.324263,6,2,380.571428571429,1,0,0,0,0,0,1,0,0,0
"97",1666816981.10804,"13.225.196.108","192.168.137.206",443,60214,6,1591,2856,4447,49.2973585859053,24.6486792929526,24.6486792929526,8,8,247,0.000298,0.076455,0,0.324561,6,2,357,1,0,0,0,0,1,1,0,0,0
"98",1666816981.17513,"44.199.80.228","192.168.137.206",443,41407,6,112,112,224,13.4105782641347,6.70528913206737,6.70528913206737,1,1,238,0.149136,0.149136,0,0.149136,6,1,112,1,0,0,0,0,1,1,0,0,0
"99",1666816981.19535,"192.168.137.5","34.158.253.218",45348,443,6,77,0,77,0,0,0,1,0,64,0,0,0,0,1,1,77,0,0,0,0,0,1,1,0,0,0
"100",1666816981.20694,"44.199.80.228","192.168.137.206",443,41407,6,112,178,290,16.5787074134453,5.52623580448178,11.0524716089636,1,2,238,0.031819,0.149136,0,0.180955,6,1,89,1,0,0,0,0,0,1,0,0,0
"101",1666816981.20848,"34.208.234.96","192.168.137.39",443,35406,6,66,66,132,8.38912098790289,4.19456049395144,4.19456049395144,1,1,233,0.238404,0.238404,0,0.238404,1,1,66,1,0,0,0,0,0,1,0,0,0
"102",1666816981.21376,"192.168.137.207","173.255.124.25",52333,443,6,1248,264,1512,15.0115401214684,10.0076934143123,5.00384670715613,8,4,64,0.113067,0.115094,0,0.799385,1,1,156,1,0,0,0,0,1,1,0,0,0
"103",1666816981.22735,"173.255.124.25","192.168.137.207",443,52333,6,1248,330,1578,15.9907499661734,9.84046151764518,6.15028844852824,8,5,60,0.013585,0.115094,0,0.81297,1,1,66,1,0,0,0,0,0,1,0,0,0
"104",1666816981.24801,"192.168.137.5","34.158.253.218",45348,443,6,143,0,143,37.9816548607023,37.9816548607023,0,2,0,64,0.052657,0.052657,0,0.052657,1,1,71.5,1,0,0,0,0,0,1,0,0,0
"105",1666816981.30948,"173.255.124.25","192.168.137.207",443,52333,6,1248,396,1644,15.6406406406406,8.93750893750894,6.7031317031317,8,6,60,0.082134,0.115094,0,0.895104,1,1,66,1,0,0,0,0,0,1,0,0,0
"106",1666816981.33353,"192.168.137.207","173.255.124.25",52333,443,6,1404,396,1800,16.3194788211244,9.79168729267462,6.52779152844975,9,6,64,0.024043,0.115094,0,0.919147,1,1,156,1,0,0,0,0,1,1,0,0,0
"107",1666816981.39737,"34.158.253.218","192.168.137.5",443,45348,6,143,77,220,14.8502353762307,9.90015691748714,4.95007845874357,2,1,59,0.14936,0.14936,0,0.202017,1,1,77,1,0,0,0,0,1,1,0,0,0
"108",1666816981.41714,"173.255.124.25","192.168.137.207",443,52333,6,1404,462,1866,15.9559774581928,8.97523732023348,6.98074013795937,9,7,60,0.083612,0.115094,0,1.002759,1,1,66,1,0,0,0,0,0,1,0,0,0
"109",1666816981.44856,"192.168.137.207","173.255.124.25",52333,443,6,1560,462,2022,16.4381442302114,9.66949660600669,6.76864762420468,10,7,64,0.031421,0.115094,0,1.03418,1,1,156,1,0,0,0,0,1,1,0,0,0
"110",1666816981.53701,"173.255.124.25","192.168.137.207",443,52333,6,1560,528,2088,16.0337064139279,8.90761467440441,7.12609173952353,10,8,60,0.088455,0.115094,0,1.122635,1,1,66,1,0,0,0,0,0,1,0,0,0
"111",1666816981.5608,"192.168.137.207","173.255.124.25",52333,443,6,1716,528,2244,16.5732892658295,9.59506220653284,6.97822705929661,11,8,64,0.023788,0.115094,0,1.146423,1,1,156,1,0,0,0,0,1,1,0,0,0
"112",1666816981.63686,"192.168.137.250","3.141.212.7",37198,443,6,395,66,461,2.83495193338997,1.88996795559331,0.944983977796656,2,1,64,0.822235,0.822235,0,1.058219,1,2,197.5,1,0,0,0,0,0,1,0,0,0
"113",1666816981.67674,"192.168.137.207","173.255.124.25",52333,443,6,1872,528,2400,15.8432657406806,9.50595944440836,6.33730629627224,12,8,64,0.115943,0.115943,0,1.262366,1,1,156,1,0,0,0,0,1,1,0,0,0
"114",1666816981.68027,"173.255.124.25","192.168.137.207",443,52333,6,1872,594,2466,16.5890929083998,9.47948166194272,7.10961124645704,12,9,60,0.003526,0.115943,0,1.265892,1,1,66,1,0,0,0,0,0,1,0,0,0
"115",1666816981.71231,"192.168.137.51","63.35.84.44",34783,443,6,74,0,74,0,0,0,1,0,64,0,0,0,0,2,1,74,0,0,0,0,1,0,0,0,0,0
"116",1666816981.75883,"192.168.137.9","3.141.212.7",60198,443,6,1088,113,1201,4.23310435766345,3.17482826824759,1.05827608941586,3,1,64,0.748738,0.748738,0,0.944933,1,2,362.666666666667,1,0,0,0,0,1,1,0,0,0
"117",1666816981.76413,"173.255.124.25","192.168.137.207",443,52333,6,1872,660,2532,16.2993146879052,8.89053528431191,7.40877940359326,12,10,60,0.083858,0.115943,0,1.34975,1,1,66,1,0,0,0,0,0,1,0,0,0
"118",1666816981.77017,"192.168.137.51","54.154.94.174",42561,443,6,74,0,74,0,0,0,1,0,64,0,0,0,0,3,1,74,0,0,0,0,1,0,0,0,0,0
"119",1666816981.78658,"3.141.212.7","192.168.137.250",443,37198,6,395,132,527,3.31142275278573,1.65571137639287,1.65571137639287,2,2,236,0.149721,0.822235,0,1.20794,1,2,66,1,0,0,0,0,0,1,0,0,0
"120",1666816981.79254,"192.168.137.207","173.255.124.25",52333,443,6,2028,660,2688,16.6889064485209,9.43286016655529,7.25604628196561,13,10,64,0.028411,0.115943,0,1.378161,1,1,156,1,0,0,0,0,1,1,0,0,0
"121",1666816981.82634,"192.168.137.9","3.141.212.7",60198,443,6,1154,113,1267,4.93857401638421,3.95085921310737,0.987714803276843,4,1,64,0.067505,0.748738,0,1.012438,1,2,288.5,1,0,0,0,0,0,1,0,0,0
"122",1666816981.84238,"192.168.137.51","63.35.84.44",34783,443,6,140,0,140,15.375981179799,15.375981179799,0,2,0,64,0.130073,0.130073,0,0.130073,3,1,70,1,0,0,0,0,0,1,0,0,0
